#META|ref=04/2026|gerado=2026-07-21|fonte=SUDECAP
01.14.34|TORRE PROVISÓRIA PARA CAIXA D'ÁGUA DE 1000L, H=4,00M|UN
01.14.40|INSTALAÇÃO ELÉTRICA - ESCRITÓRIOS ATÉ 15M2|UN
01.14.41|INSTALAÇÃO ELÉTRICA - ESCRITÓRIOS ATÉ 22M2|UN
01.14.42|INSTALAÇÃO ELÉTRICA - VESTIÁRIO PARA ATÉ 20 PESSOAS|UN
01.14.43|INSTALAÇÃO ELÉTRICA - VESTIÁRIO PARA ATÉ 30 PESSOAS|UN
01.14.44|INSTALAÇÃO ELÉTRICA - VESTIÁRIO PARA ATÉ 40 PESSOAS|UN
01.14.45|INSTALAÇÃO ELÉTRICA - DEPÓSITO ATÉ 15M2|UN
01.14.46|INSTALAÇÃO ELÉTRICA - DEPÓSITO ATÉ 26M2|UN
01.14.47|INSTALAÇÃO ELÉTRICA - DEPÓSITO ATÉ 33M2|UN
01.14.48|INSTALAÇÃO ELÉTRICA - REFEITÓRIO ATÉ 19M2|UN
01.14.49|INSTALAÇÃO ELÉTRICA - REFEITÓRIO ATÉ 26M2|UN
01.14.50|INSTALAÇÃO HIDROSSANITÁRIA - REFEITÓRIOS|UN
01.14.51|INSTALAÇÃO ELÉTRICA - SANITÁRIO / VESTIÁRIO PARA ATÉ 4 FUNCIONÁRIOS|UN
01.14.52|INSTALAÇÃO HIDROSSANITÁRIA - SANITÁRIO / VESTIÁRIO PARA ATÉ 4 FUNCIONÁRIOS|UN
01.14.53|INSTALAÇÃO ELÉTRICA - SANITÁRIO ATÉ 15M2|UN
01.14.54|INSTALAÇÃO ELÉTRICA - SANITÁRIO ATÉ 22M2|UN
01.14.55|INSTALAÇÃO ELÉTRICA - SANITÁRIO ATÉ 33M2|UN
01.14.56|INSTALAÇÃO HIDROSSANITÁRIA - SANITÁRIO ATÉ 15M2|UN
01.14.57|INSTALAÇÃO HIDROSSANITÁRIA - SANITÁRIO ATÉ 22M2|UN
01.14.58|INSTALAÇÃO HIDROSSANITÁRIA - SANITÁRIO ATÉ 33M2|UN
01.17.01|GABARITO|M
01.29.03|MONTAGEM DE ANDAIME FACHADEIRO ADP REF 97063|M2
01.29.04|DESMONTAGEM DE ANDAIME FACHADEIRO ADP REF 97063|M2
01.29.06|ANDAIME METÁLICO TIPO FACHADEIRO, INCLUINDO SAPATAS AJUSTÁVEIS, PISO METÁLICO E ESCADA|M2MES
